StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Concord St & Bridge St,1,2,2,0,0,3,-3,0,0,4,-1,1,4,3,-3,-3,-1,-2,1,-3,-2,-2,0,1,1,2,4,2,0,7,7,0,4,4,3,5,6,7,5,9,1,2,3,7,4,4,2,5
Hicks St & Montague St,-1,1,0,-2,2,-1,1,-2,-3,3,-2,0,-3,0,-3,0,-3,1,-1,0,2,6,-5,-3,7,6,2,4,7,3,3,4,7,4,4,4,5,8,7,8,12,7,3,6,6,11,5,5
Division St & Bowery,-7,1,-3,-1,-4,-3,0,-1,2,-3,0,-1,5,1,-2,-5,4,4,0,1,1,0,-3,-3,11,13,5,9,12,19,8,13,8,7,18,15,7,13,16,13,10,16,18,9,11,12,13,11
9 Ave & W 45 St,21,-1,8,-1,3,7,-9,0,11,5,-1,-4,-5,-6,3,-8,-9,-2,3,-4,-4,-10,-5,-5,34,25,30,33,23,32,29,36,23,41,27,28,37,38,37,41,31,37,32,43,29,30,29,23
W 29 St & 9 Ave,1,-1,5,-1,10,-7,-5,0,-1,-4,-2,-4,-3,2,4,-9,7,-7,2,1,-2,8,2,-3,13,21,34,21,22,22,15,20,19,22,24,20,23,30,32,25,21,19,14,15,15,22,18,23
Columbia St & Rivington St,-1,5,5,-3,2,3,-1,-4,0,3,-2,-3,6,2,4,0,-1,-3,3,5,1,-2,3,-7,7,17,14,8,4,10,10,14,8,8,14,13,14,9,12,6,19,9,11,15,13,6,11,15
Christopher St & Greenwich St,2,2,-2,-6,-4,2,2,1,8,-3,-11,6,14,10,4,-4,-13,4,3,-16,0,-6,3,3,40,42,30,26,45,35,42,29,30,47,33,42,40,44,45,46,41,42,37,56,38,44,33,51
Greenwich St & W Houston St,-3,-11,1,-5,-2,-4,8,-7,-1,-2,9,6,11,10,8,8,-2,-3,6,-2,2,-10,10,0,41,35,37,35,26,34,40,48,37,38,29,44,31,42,40,36,38,39,48,42,30,34,28,32
LaGuardia Pl & W 3 St,4,-11,9,-6,8,-1,-2,-2,5,-14,0,-4,0,3,0,6,3,-4,-2,2,1,6,4,6,36,45,37,36,38,25,40,30,25,48,43,32,50,27,29,41,46,36,34,44,42,26,40,40
Stanton St & Chrystie St,-8,-5,1,-11,-2,10,-7,1,-4,-6,2,-1,-2,6,-2,9,5,-2,4,-6,-1,-1,5,-8,23,25,13,20,16,22,20,19,28,30,16,21,16,22,24,17,13,32,20,18,19,21,21,28
